name,price,image,rating,sale,hot,new,lowStock,category,stock,description,specifications,shippingInfo,returnInfo,faqs,thumbnails
Diverse 24/7 paradigm,61.62,https://picsum.photos/id/41/300,1,70% Off,True,False,True,Clearance,44,Analysis loss space office concern. All too toward energy red sit social. Model large and method easy.,Kitchen ten experience security head president.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/41/200"", ""https://picsum.photos/id/42/200"", ""https://picsum.photos/id/43/200""]"
Down-sized well-modulated archive,93.17,https://picsum.photos/id/283/300,3,57% Off,False,False,False,Travel Gear,42,Break value require hope daughter crime matter. Director trial stock fly hot.,Relate gas score during along shake Democrat.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/283/200""]"
Versatile even-keeled support,527.44,https://picsum.photos/id/559/300,1,60% Off,False,True,True,Baby Products,14,Win institution per door movement morning. Actually draw become modern bad rest term.,Network in source structure or.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/559/200"", ""https://picsum.photos/id/560/200""]"
Polarized upward-trending throughput,73.64,https://picsum.photos/id/708/300,3,28% Off,True,True,True,Budget Friendly,83,While theory it difficult tend. Accept group society thousand.,Thought international until peace movie ok small.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/708/200""]"
Right-sized well-modulated infrastructure,431.91,https://picsum.photos/id/121/300,5,34% Off,False,True,True,Party Supplies,42,Respond bag to edge meeting blue note. Surface southern factor mean study hand agent. Order age accept reflect five officer.,This myself store medical.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/121/200"", ""https://picsum.photos/id/122/200"", ""https://picsum.photos/id/123/200"", ""https://picsum.photos/id/124/200""]"
Synergized mission-critical intranet,831.82,https://picsum.photos/id/10/300,2,66% Off,True,False,True,Best Sellers,71,Away three around you fill.,Painting throw most can produce.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/10/200"", ""https://picsum.photos/id/11/200"", ""https://picsum.photos/id/12/200""]"
Exclusive directional product,637.15,https://picsum.photos/id/66/300,5,25% Off,True,True,True,Clearance,4,Realize low election move exactly defense. Big culture day gas stage their every.,Official story treat environmental.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/66/200"", ""https://picsum.photos/id/67/200"", ""https://picsum.photos/id/68/200"", ""https://picsum.photos/id/69/200""]"
Programmable bandwidth-monitored secured line,665.18,https://picsum.photos/id/373/300,1,27% Off,False,False,False,Automotive,8,Face still kitchen medical point people wonder thus. Find none sea these. Ground leave specific subject share report. Low share family phone defense bad recent.,Old soldier spring executive hold film hard most.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/373/200"", ""https://picsum.photos/id/374/200"", ""https://picsum.photos/id/375/200""]"
Reverse-engineered fault-tolerant strategy,265.81,https://picsum.photos/id/58/300,1,18% Off,False,True,True,On Sale,51,Computer specific nice. See under huge at whom down. Knowledge million system although example debate onto.,Himself himself study.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/58/200"", ""https://picsum.photos/id/59/200"", ""https://picsum.photos/id/60/200"", ""https://picsum.photos/id/61/200""]"
User-centric object-oriented model,474.76,https://picsum.photos/id/930/300,3,22% Off,False,False,False,Limited Edition,97,These blue reason address poor last. Might process central buy study. Begin mention you.,They sit enjoy assume rich social wife.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/930/200"", ""https://picsum.photos/id/931/200"", ""https://picsum.photos/id/932/200"", ""https://picsum.photos/id/933/200""]"
Devolved tertiary functionalities,896.07,https://picsum.photos/id/240/300,5,31% Off,False,True,False,Party Supplies,52,Mean factor boy. Effect least walk building owner other computer. Catch other reveal measure week easy.,Source do seven race somebody.,Ships in 2–5 business days.,30-day return policy,"For more help, contact our support team.","[""https://picsum.photos/id/240/200"", ""https://picsum.photos/id/241/200""]"
